zip_code,latitude,longitude,city,state
37013,36.03765,-86.63697,Nashville,TN
37027,36.00159,-86.78068,Nashville,TN
37072,36.35495,-86.76214,Nashville,TN
37076,36.14312,-86.58965,Nashville,TN
37115,36.25536,-86.69827,Nashville,TN
37138,36.24973,-86.61499,Nashville,TN
37201,36.16596,-86.77321,Nashville,TN
37203,36.15044,-86.79133,Nashville,TN
37204,36.10797,-86.77619,Nashville,TN
37205,36.11201,-86.96834,Nashville,TN
37206,36.18013,-86.72929,Nashville,TN
37207,36.23329,-86.78217,Nashville,TN
37208,36.17574,-86.80616,Nashville,TN
37209,36.15094,-86.90523,Nashville,TN
37210,36.13921,-86.73238,Nashville,TN
37211,36.06840,-86.72389,Nashville,TN
37212,36.13231,-86.80362,Nashville,TN
37214,36.16789,-86.66046,Nashville,TN
37215,36.08792,-86.83793,Nashville,TN
37216,36.21681,-86.72443,Nashville,TN
37217,36.10591,-86.66172,Nashville,TN
37218,36.19984,-86.89674,Nashville,TN
37221,36.05907,-86.95980,Nashville,TN
